Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,2,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,5,5,2
4,4,4,4,4,4,4,4,4,4,5,5,5,5
4,4,4,4,4,4,4,4,4,4,5,5,5,5
1,1,2,2,1,1,2,1,2,1,0,0,2,1
1,1,2,2,1,1,2,1,2,1,0,0,2,1
1,1,2,2,1,1,2,2,2,1,0,0,2,1
1,1,2,2,1,1,2,1,2,2,0,0,2,1
1,1,2,2,1,1,2,1,2,1,0,0,2,1
1,1,2,2,1,1,2,1,2,1,0,0,2,1
1,1,2,2,1,1,2,1,2,1,0,0,2,1
2,1,2,2,1,1,2,1,2,1,0,0,2,1
1,1,2,2,1,1,2,1,2,1,0,0,2,1
4,4,4,5,4,4,4,4,4,4,5,5,5,4
4,4,4,4,4,4,4,4,4,4,5,5,5,5
4,4,4,4,4,4,4,4,4,4,5,5,5,5
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,0,0,2
1,1,2,2,1,1,2,1,2,1,1,5,5,2
4,4,4,4,4,4,4,4,4,4,7,7,7,7
