Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,5,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,5,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,1,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,4,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
1,2,1,3,4,2,2,5,6,6,1,1,6,4,1,1,4,1,4,1,4,6,5,2,4,6,1,4,1,2,5,6,2,1,5,1,4,3,4,2,3,2,3,4,5,2,1,1,5,4,5,7,7,6,7,7,3,1,4,7,2
